Batch ID,Book #,Book,Part,Illustrations,Animal Range,Interior Page Range,Priority,Status,Prompt Pack,Output Folder,Notes
B037,19,Nocturnal Animals Coloring Book for Kids Ages 4-8,1,30,Barn Owl -> Bobcat,9-67,Normal,Queued,B037_book_19_nocturnal_01-30.txt,production/artwork-workspace/book_19/B037,
B038,19,Nocturnal Animals Coloring Book for Kids Ages 4-8,2,30,Leopard -> Cane Toad,69-127,Normal,Queued,B038_book_19_nocturnal_31-60.txt,production/artwork-workspace/book_19/B038,
B039,20,Endangered Animals Coloring Book for Kids Ages 4-8,1,30,Amur Leopard -> Dhole,9-67,Normal,Queued,B039_book_20_endangered_01-30.txt,production/artwork-workspace/book_20/B039,
B040,20,Endangered Animals Coloring Book for Kids Ages 4-8,2,30,Addax -> Siamese Crocodile,69-127,Normal,Queued,B040_book_20_endangered_31-60.txt,production/artwork-workspace/book_20/B040,
B041,21,North American Animals Coloring Book for Kids Ages 4-8,1,30,American Bison -> Nine-Banded Armadillo,9-67,Normal,Queued,B041_book_21_north_american_01-30.txt,production/artwork-workspace/book_21/B041,
B042,21,North American Animals Coloring Book for Kids Ages 4-8,2,30,Eastern Cottontail -> American Lobster,69-127,Normal,Queued,B042_book_21_north_american_31-60.txt,production/artwork-workspace/book_21/B042,
B043,22,Backyard Animals Coloring Book for Kids Ages 4-8,1,30,Eastern Gray Squirrel -> Great Horned Owl,9-67,Normal,Queued,B043_Book_22_Part_1_Prompts.txt,artwork/book_22/b043,
B044,22,Backyard Animals Coloring Book for Kids Ages 4-8,2,30,Eastern Screech Owl -> Millipede,69-127,Normal,Queued,B044_Book_22_Part_2_Prompts.txt,artwork/book_22/b044,
B045,23,Desert Animals Coloring Book for Kids Ages 4-8,1,30,Dromedary Camel -> Lappet-Faced Vulture,9-67,Normal,Queued,B045_Book_23_Part_1_Prompts.txt,artwork/book_23/b045,
B046,23,Desert Animals Coloring Book for Kids Ages 4-8,2,30,Greater Sage-Grouse -> Gambel's Quail,69-127,Normal,Queued,B046_Book_23_Part_2_Prompts.txt,artwork/book_23/b046,
B047,24,River & Wetland Animals Coloring Book for Kids Ages 4-8,1,30,North American River Otter -> Spring Peeper,9-67,Normal,Queued,B047_Book_24_Part_1_Prompts.txt,artwork/book_24/b047,
B048,24,River & Wetland Animals Coloring Book for Kids Ages 4-8,2,30,Red-Eyed Tree Frog -> Crayfish,69-127,Normal,Queued,B048_Book_24_Part_2_Prompts.txt,artwork/book_24/b048,
B049,25,Mountain Animals Coloring Book for Kids Ages 4-8,1,30,Mountain Goat -> American Black Bear,9-67,Normal,Queued,B049_Book_25_Part_1_Prompts.txt,artwork/book_25/b049,
B050,25,Mountain Animals Coloring Book for Kids Ages 4-8,2,30,Spectacled Bear -> Mountain Bumblebee,69-127,Normal,Queued,B050_Book_25_Part_2_Prompts.txt,artwork/book_25/b050,
B051,26,Cute Animals Coloring Book for Kids Ages 4-8,1,30,Red Panda -> Lamb,9-67,Normal,Queued,B051_Book_26_Part_1_Prompts.txt,artwork/book_26/b051,
B052,26,Cute Animals Coloring Book for Kids Ages 4-8,2,30,Goat Kid -> Luna Moth,69-127,Normal,Queued,B052_Book_26_Part_2_Prompts.txt,artwork/book_26/b052,
B053,27,Rainforest Birds Coloring Book for Kids Ages 4-8,1,30,Toco Toucan -> Raggiana Bird-of-Paradise,9-67,Normal,Queued,B053_Book_27_Part_1_Prompts.txt,artwork/book_27/b053,
B054,27,Rainforest Birds Coloring Book for Kids Ages 4-8,2,30,Wilson's Bird-of-Paradise -> Fiery-Throated Hummingbird,69-127,Normal,Queued,B054_Book_27_Part_2_Prompts.txt,artwork/book_27/b054,
B055,28,Sharks & Rays Coloring Book for Kids Ages 4-8,1,30,Great White Shark -> Great Hammerhead,9-67,Normal,Queued,B055_Book_28_Part_1_Prompts.txt,artwork/book_28/b055,
B056,28,Sharks & Rays Coloring Book for Kids Ages 4-8,2,30,Bonnethead -> Shovelnose Guitarfish,69-127,Normal,Queued,B056_Book_28_Part_2_Prompts.txt,artwork/book_28/b056,
B057,29,Animal Families Coloring Book for Kids Ages 4-8,1,30,Lion Family -> Hedgehog Family,9-67,Normal,Queued,B057_Book_29_Part_1_Prompts.txt,artwork/book_29/b057,
B058,29,Animal Families Coloring Book for Kids Ages 4-8,2,30,Horse Family -> Seahorse Family,69-127,Normal,Queued,B058_Book_29_Part_2_Prompts.txt,artwork/book_29/b058,
B059,30,Animal Homes & Habitats Coloring Book for Kids Ages 4-8,1,30,Beaver Lodge -> Sea Turtle Nest,9-67,Normal,Queued,B059_Book_30_Part_1_Prompts.txt,artwork/book_30/b059,
B060,30,Animal Homes & Habitats Coloring Book for Kids Ages 4-8,2,30,Penguin Colony -> Coral Reef,69-127,Normal,Queued,B060_Book_30_Part_2_Prompts.txt,artwork/book_30/b060,
